,Site,mois,Année,Date,E.coli ,E.coli_qualite,°C,ppt,%,pH
2508,B1,1,2002,1/15/2002,0,Bonne,13.82,38.45,103.3,8.04
2509,B2,1,2002,1/15/2002,0,Bonne,13.53,38.42,101.2,8.07
2510,B3,1,2002,1/15/2002,10,Bonne,13.49,38.45,98.2,8.01
2511,B4,1,2002,1/15/2002,21,Bonne,13.79,38.42,100.1,8.01
2512,B5,1,2002,1/15/2002,10,Bonne,13.33,38.44,101.2,7.99
2513,B6,1,2002,1/15/2002,0,Bonne,13.44,38.43,98.2,8.01
2530,B1,2,2002,2/27/2002,0,Bonne,,,,
2531,B2,2,2002,2/27/2002,0,Bonne,,,,
2532,B3,2,2002,2/27/2002,0,Bonne,,,,
2533,B4,2,2002,2/27/2002,0,Bonne,,,,
2534,B5,2,2002,2/27/2002,21,Bonne,,,,
2535,B6,2,2002,2/27/2002,0,Bonne,,,,
2549,B1,3,2002,3/18/2002,0,Bonne,14.3,39.76,117.3,8
2550,B2,3,2002,3/18/2002,32,Bonne,14.44,39.95,103.1,7.99
2551,B3,3,2002,3/18/2002,10,Bonne,14.2,39.74,109.6,8.01
2552,B4,3,2002,3/18/2002,21,Bonne,14.18,39.78,107.5,8.01
2553,B5,3,2002,3/18/2002,21,Bonne,14.3,39.79,120.2,7.99
2554,B6,3,2002,3/18/2002,21,Bonne,14.24,39.69,107,8
2571,B1,4,2002,4/22/2002,10,Bonne,14.88,37.83,92.6,8.01
2572,B2,4,2002,4/22/2002,0,Bonne,14.7,37.86,91.8,7.96
2573,B3,4,2002,4/22/2002,0,Bonne,14.56,37.91,100.6,8.01
2574,B4,4,2002,4/22/2002,0,Bonne,14.46,37.86,92.8,7.98
2575,B5,4,2002,4/22/2002,0,Bonne,14.71,37.83,100.3,7.97
2576,B6,4,2002,4/22/2002,0,Bonne,14.52,37.86,96.1,8.03
2593,B1,4,2002,4/29/2002,0,Bonne,15.78,37.56,101.5,8.04
2594,B2,4,2002,4/29/2002,10,Bonne,16.21,37.77,88.5,8.01
2595,B3,4,2002,4/29/2002,10,Bonne,16.1,37.4,93.7,8.03
2596,B4,4,2002,4/29/2002,10,Bonne,16.03,37.63,103.5,8.05
2597,B5,4,2002,4/29/2002,0,Bonne,16.25,37.8,88.6,8.02
2598,B6,4,2002,4/29/2002,0,Bonne,16.13,37.78,93.5,8.03
2605,B1,5,2002,5/6/2002,0,Bonne,16.25,37.33,100.8,8.06
2606,B2,5,2002,5/6/2002,10,Bonne,16.43,37.28,93.9,8.05
2607,B3,5,2002,5/6/2002,0,Bonne,16.3,37.32,94.6,8.05
2608,B4,5,2002,5/6/2002,0,Bonne,16.21,37.32,97,8.05
2609,B5,5,2002,5/6/2002,0,Bonne,16.29,37.3,93,8.05
2610,B6,5,2002,5/6/2002,0,Bonne,16.3,37.32,92.7,8.06
2617,B1,5,2002,5/13/2002,0,Bonne,16.9,37.03,99.9,8.07
2618,B2,5,2002,5/13/2002,0,Bonne,17.25,37.36,102.5,8.05
2619,B3,5,2002,5/13/2002,0,Bonne,16.84,37.13,99,8.07
2620,B4,5,2002,5/13/2002,0,Bonne,16.82,37.11,107.2,8.07
2621,B5,5,2002,5/13/2002,0,Bonne,17.06,37.32,95.3,8.06
2622,B6,5,2002,5/13/2002,0,Bonne,16.96,37.31,95.7,8.06
2629,B1,5,2002,5/21/2002,0,Bonne,19.18,37.22,98,8.1
2630,B2,5,2002,5/21/2002,0,Bonne,19.69,37.18,94.8,8.08
2631,B3,5,2002,5/21/2002,0,Bonne,19.31,37.2,95.4,8.11
2632,B4,5,2002,5/21/2002,0,Bonne,19.41,37.19,112.5,8.13
2633,B5,5,2002,5/21/2002,0,Bonne,19.53,37.03,95.9,8.12
2634,B6,5,2002,5/21/2002,0,Bonne,19.38,37.15,94.9,8.12
2641,B1,5,2002,5/28/2002,0,Bonne,18.73,37.69,98.9,8.13
2642,B2,5,2002,5/28/2002,10,Bonne,18.79,37.68,90.5,8.1
2643,B3,5,2002,5/28/2002,0,Bonne,18.77,37.68,92.2,8.13
2644,B4,5,2002,5/28/2002,0,Bonne,18.67,37.68,96.5,8.14
2645,B5,5,2002,5/28/2002,0,Bonne,18.74,37.7,96.4,8.11
2646,B6,5,2002,5/28/2002,0,Bonne,18.79,37.67,88.4,8.11
2653,B1,6,2002,6/3/2002,10,Bonne,20.4,37.18,93,8.12
2654,B2,6,2002,6/3/2002,0,Bonne,20.42,36.97,87.4,8.11
2655,B3,6,2002,6/3/2002,0,Bonne,20.49,37.44,86.1,8.12
2656,B4,6,2002,6/3/2002,0,Bonne,20.43,37.59,96.6,8.15
2657,B5,6,2002,6/3/2002,0,Bonne,20.58,37.28,90.7,8.12
2658,B6,6,2002,6/3/2002,0,Bonne,20.57,37.63,103.7,8.13
2665,B1,6,2002,6/10/2002,0,Bonne,19.11,37.77,99.8,8.22
2666,B2,6,2002,6/10/2002,0,Bonne,19.33,37.81,87.2,8.18
2667,B3,6,2002,6/10/2002,0,Bonne,19.05,37.78,98.9,8.21
2668,B4,6,2002,6/10/2002,0,Bonne,19.1,37.76,100.3,8.23
2669,B5,6,2002,6/10/2002,0,Bonne,19.14,37.77,95.4,8.22
2670,B6,6,2002,6/10/2002,0,Bonne,19.09,37.8,104.5,8.21
2687,B1,6,2002,6/17/2002,0,Bonne,22.14,37.44,88.5,8.17
2688,B2,6,2002,6/17/2002,0,Bonne,22.15,37.46,73.2,8.1
2689,B3,6,2002,6/17/2002,0,Bonne,22.25,37.37,88.9,8.15
2690,B4,6,2002,6/17/2002,0,Bonne,22.2,37.37,97.4,8.18
2691,B5,6,2002,6/17/2002,0,Bonne,22.16,37.46,78.5,8.13
2692,B6,6,2002,6/17/2002,0,Bonne,22.34,37.42,85.4,8.17
2699,B1,6,2002,6/24/2002,0,Bonne,25.21,36.83,89.5,8.15
2700,B2,6,2002,6/24/2002,0,Bonne,25.15,36.87,73.7,8.1
2701,B3,6,2002,6/24/2002,32,Bonne,25.33,36.65,89.6,8.13
2702,B4,6,2002,6/24/2002,10,Bonne,25.12,36.79,94.1,8.14
2703,B5,6,2002,6/24/2002,0,Bonne,25.2,36.85,96,8.14
2704,B6,6,2002,6/24/2002,10,Bonne,25.26,36.64,94.1,8.14
2711,B1,7,2002,7/1/2002,0,Bonne,23.82,37.48,101.1,8.11
2712,B2,7,2002,7/1/2002,21,Bonne,24.09,37.62,75.2,8.04
2713,B3,7,2002,7/1/2002,10,Bonne,23.89,37.1,91.2,8.08
2714,B4,7,2002,7/1/2002,0,Bonne,23.92,37.71,101.5,8.12
2715,B5,7,2002,7/1/2002,10,Bonne,24.05,37.73,90.7,8.08
2716,B6,7,2002,7/1/2002,0,Bonne,23.99,37.77,58.7,7.96
2723,B1,7,2002,7/8/2002,10,Bonne,22.22,37.66,84.7,8.09
2724,B2,7,2002,7/8/2002,0,Bonne,22.2,37.76,60.8,8.01
2725,B3,7,2002,7/8/2002,0,Bonne,22.2,37.69,78.6,8.08
2726,B4,7,2002,7/8/2002,0,Bonne,21.96,37.78,82.3,8.07
2727,B5,7,2002,7/8/2002,0,Bonne,22.25,37.78,74.4,8.04
2728,B6,7,2002,7/8/2002,0,Bonne,22.31,37.63,76.2,8.07
2735,B1,7,2002,7/16/2002,10,Bonne,23.46,37.73,84.3,8.01
2736,B2,7,2002,7/16/2002,32,Bonne,23.4,37.72,65.1,7.9
